task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA
Rover_130,0.8836163549420938,0.8486836925278312,,
Rover_85,0.8159847076303187,0.7779392543340956,,
Rover_54,0.7229793824272405,0.6533580198820315,,
Rover_205,0.8246448619549491,0.8433661686160075,,
Rover_150,0.7621922553905844,0.7913175027155432,,
Rover_97,0.8088122404245064,0.7660310030570192,,
Rover_26,0.7984062395033988,0.8677519075109125,,
Rover_215,0.4624202204007054,0.6965327782516242,,
Rover_63,0.8243345837192035,0.8190509101483562,,
Rover_294,0.7861062619081811,0.7336234249762972,,
Rover_56,0.8141621360732023,0.7433424707020756,,
Rover_13,0.7513504862173817,0.818197585374718,,
Rover_135,0.835880869040492,0.7745977383295184,,
Rover_82,0.7789298366546188,0.7655232715585587,,
Rover_165,0.8142568677005335,0.6657063582996141,,
Rover_252,0.5341027307825386,0.7300125120063049,,
Rover_43,0.7655334864991824,0.5522951800092657,,
HPOB_5906_9914,0.9525756877803928,0.6374654323401568,,
HPOB_5906_9952,0.3323128491219088,0.4854787520159127,,
HPOB_5906_3492,0.9919264996988494,0.6707412415776096,,
HPOB_5906_3493,0.1398591920489868,0.9484150109871704,,
HPOB_5906_3954,0.3922647079698898,0.4364662685181416,,
HPOB_5906_7295,0.0792442029933751,0.0624295595572451,,
HPOB_5906_49,0.5074046213216034,0.4574244990527941,,
HPOB_5906_14965,0.0799401771321229,0.7554344264728375,,
HPOB_5906_14951,0.8132751993604678,0.8841876568801074,,
HPOB_5906_31,0.2017923753653,0.2721240769571332,,
HPOB_5906_125923,-0.0410945539674876,0.080755994202973,,
HPOB_5906_3,0.1963515383825682,0.1621102731220755,,
HPOB_5906_3902,0.2173091021303203,0.2174009251917882,,
HPOB_5906_9957,0.4118539072002234,0.7132478149758863,,
HPOB_5906_9967,0.5617825931990984,1.0007107183710158,,
HPOB_5906_9983,0.3088624489128445,1.0006458879509796,,
HPOB_5906_3917,0.0705437614328125,0.3162191736936872,,
HPOB_5906_9978,0.4374882891191167,0.7583420372821217,,
HPOB_5906_3891,0.1803589503997118,0.1769692748847208,,
HPOB_5906_6566,0.0240119150653343,0.0896001896071821,,
HPOB_5906_9889,0.6441065255020928,0.274660779425282,,
HPOB_5906_3494,0.4020248256204221,0.3990772981497504,,
HPOB_5906_37,0.1485030648455802,0.2994395779520381,,
HPOB_5906_3896,0.2558117598506158,0.2575903792580085,,
HPOB_5889_6566,0.1102956851396709,0.5313210548442302,,
HPOB_5889_14971,0.1638155897067121,0.1658099707259423,,
HPOB_5889_9983,0.1315231523269392,0.1798784677118536,,
HPOB_5889_3954,0.0614666318489611,0.0768491207541006,,
HPOB_5889_9977,0.0713080688208539,0.6825096695482028,,
HPOB_5889_7295,0.2043643064823431,0.0318092237443079,,
HPOB_5889_3889,0.0375453049450799,0.1301254842181854,,
HPOB_5889_9970,0.2428798554424443,0.1834424629900916,,
HPOB_5889_3891,0.0928494506772778,0.2119290507459634,,
HPOB_5889_9978,0.0351862061694976,0.0527825092834235,,
HPOB_5889_3917,0.093491651116058,0.1814781298380187,,
HPOB_5889_9957,0.1130565944428181,0.1044772873130238,,
HPOB_5889_9980,0.2561346911415205,0.2457216315540009,,
HPOB_5889_3494,0.0344929206950709,-0.0087972750320696,,
HPOB_5889_10101,0.3388645803445337,0.5786779937346299,,
HPOB_5889_31,0.5205212160944938,0.1003736630082133,,
HPOB_5889_3493,0.3631969556160657,0.2551602357249516,,
HPOB_5889_3913,0.3577778166049739,0.2092039530146502,,
