task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
HPOB_5906_9889,0.9939739829716736,,1.0088668820165656,,,
HPOB_5906_3494,0.903132364359306,,0.9344000196076396,,,
HPOB_5906_37,0.8997006666223784,,0.5245317069222634,,,
HPOB_5906_3896,1.0505432191335955,,0.7561516532934949,,,
HPOB_5889_6566,0.5313210548442302,,0.9059892922765056,,,
HPOB_5889_14971,0.9494949885533122,,0.9494949885533122,,,
HPOB_5889_9983,0.5194713128804247,,0.1813186577329522,,,
HPOB_5889_3954,0.9924888938308188,,0.1075603112270146,,,
HPOB_5889_9977,0.0749328013237924,,0.1600048513987474,,,
HPOB_5889_7295,0.1294004778804545,,0.071782971020812,,,
HPOB_5889_3889,0.1467386487842024,,1.0718118171039714,,,
HPOB_5889_9970,0.7376208644323591,,0.616859975865978,,,
HPOB_5889_3891,0.2320332104557656,,0.4233587066603021,,,
HPOB_5889_9978,0.0982415620870711,,0.0982415620870711,,,
HPOB_5889_3917,0.988108846315176,,0.5461092718864297,,,
HPOB_5889_9957,0.1981251033182469,,0.2123066294894746,,,
HPOB_5889_9980,0.719277707856668,,0.6165563074880765,,,
HPOB_5889_3494,0.9262445360787566,,0.9651693894144951,,,
HPOB_5889_10101,0.5710834713344145,,0.4566471900750801,,,
HPOB_5889_31,0.1497738063335421,,0.3893965855240822,,,
HPOB_5889_3493,0.773220392687577,,0.8031591509210263,,,
HPOB_5889_3913,0.6670688471730385,,0.4413929366700366,,,
HPOB_5889_9946,0.6405992156495194,,0.699421820034243,,,
HPOB_5889_125923,0.8743131468197833,,0.4083786252895056,,,
adaptec1,,,,1.0059640286202387,0.9124108441872376,0.2498312841315617
adaptec2,,,,0.9701673602570192,0.9227045468541698,0.832065201186995
adaptec3,,,,0.853016348086166,0.8631042854584601,0.8622836051960776
adaptec4,,,,0.8435241806759562,,0.8398514672798716
