task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA,Expert_Grad
Rover_292,0.7103033699878915,0.8275233775781162,,,
Rover_130,0.904146344849458,0.8816654600967169,,,
Rover_85,0.8366192865837989,0.8099824735077483,,,
Rover_54,0.7760675181840067,0.6815364478087909,,,
Rover_205,0.8685131464216611,0.8775621910192367,,,
Rover_150,0.7795339722267787,0.8065080308904826,,,
Rover_97,0.8435952437606166,0.7757271490870932,,,
Rover_26,0.830024594308556,0.8753890954131334,,,
Rover_215,0.6221026710929631,0.7247726316569807,,,
Rover_63,0.8774590044558286,0.8911210088561763,,,
Rover_294,0.8042712940165786,0.7661667780204321,,,
Rover_56,0.8475830063303162,0.7652771201412668,,,
Rover_13,0.9515861035933596,0.9035200536746462,,,
Rover_135,0.8733424745535889,0.7895758195791531,,,
Rover_82,0.8237885856971048,0.7979100123561533,,,
Rover_165,0.8300102691738607,0.6834956080563259,,,
Rover_252,0.5385121708483143,0.7726133078624108,,,
Rover_43,0.8145103404452854,0.5843552109476972,,,
HPOB_5906_9914,0.9525756877803928,0.7066030142410821,,0.9480842649706236,0.9525756877803928
HPOB_5906_9952,0.4000533885958749,0.559380918198976,,0.9725757963945068,0.805275567632283
HPOB_5906_3492,0.9932569599913456,0.799236294160842,,0.9996242558151524,0.9892672361233844
HPOB_5906_3493,0.1398591920489868,0.9484150109871704,,0.9578346414666424,0.9466748056521042
HPOB_5906_3954,0.3922647079698898,0.4378566141189737,,0.8930014233002815,0.5927326421423017
HPOB_5906_7295,0.0841164435254153,0.1545076874786838,,0.651847955654046,0.3655063795860421
HPOB_5906_49,0.5083461237117743,0.4605438702578758,,0.9985970173372164,0.9909441116006401
HPOB_5906_14965,0.0985902999341428,0.7633426523908263,,,
HPOB_5906_14951,0.9394545805824028,1.00065579285921,,,
HPOB_5906_31,0.6033631011621273,0.474237200039536,,,
HPOB_5906_125923,-0.0028702770886902,0.8926719711262264,,,
HPOB_5906_3,0.3994192777245626,0.1621102731220755,,,
HPOB_5906_3902,0.2178321656411824,0.2816393551762587,,,
HPOB_5906_9957,0.5486956653255038,0.8474355928585089,,,
HPOB_5906_9967,0.5617825931990984,1.000900828011593,,,
HPOB_5906_9983,0.4278674918466567,1.0006458879509796,,,
HPOB_5906_3917,0.3153715667933943,0.3417913945458671,,,
HPOB_5906_9978,0.505061566213455,0.7583420372821217,,,
HPOB_5906_3891,0.1850022637342901,0.2817060978955863,,,
HPOB_5906_6566,0.0249020145628336,0.1234618368498121,,,
HPOB_5906_9889,0.6441065255020928,0.3222800504837401,,,
HPOB_5906_3494,0.4238263650155628,0.400596319288845,,,
HPOB_5906_37,1.043068495802224,0.2994395779520381,,,
HPOB_5906_3896,0.2931553254836565,0.2680411278583824,,,
HPOB_5889_6566,0.1102956851396709,0.5525024164674555,,,
HPOB_5889_14971,0.8897302596827329,0.1658099707259423,,,
HPOB_5889_9983,0.1315231523269392,0.1798784677118536,,,
HPOB_5889_3954,0.0696457550346812,0.0931177215632659,,,
HPOB_5889_9977,0.0749328013237924,0.6825096695482028,,,
HPOB_5889_7295,0.2043643064823431,0.0318092237443079,,,
HPOB_5889_3889,0.0375453049450799,0.1301254842181854,,,
HPOB_5889_9970,0.3459441918759413,0.3098263275436754,,,
HPOB_5889_3891,0.1337130111294364,0.2255907194087516,,,
HPOB_5889_9978,0.0434339286343362,0.0593193993722135,,,
HPOB_5889_3917,0.1698376670372945,0.1940711719080126,,,
HPOB_5889_9957,0.1298153853967189,0.1044772873130238,,,
HPOB_5889_9980,0.3346809955761599,0.3811774063457978,,,
HPOB_5889_3494,0.0580433155025435,-0.0087972750320696,,,
HPOB_5889_10101,0.4177688911524074,0.5786779937346299,,,
HPOB_5889_31,0.5303233861923217,0.2306666225194932,,,
HPOB_5889_3493,0.996979200606383,0.3769989081222697,,,
HPOB_5889_3913,0.3585310203274132,0.3699824825446496,,,
HPOB_5889_9946,0.2246415078586123,0.5794524351037577,,,
HPOB_5889_125923,0.6627398943428927,0.717046417015758,,,
adaptec1,,,,0.7993837197323703,0.3763878208258303
adaptec2,,,,0.7829591963851543,-2521618638.668885
adaptec3,,,,0.4921861499003839,0.3939772324702528
adaptec4,,,,0.6123040248719201,
