task,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,baseline_embed_regress_proj_t5,Expert_GA
HPOB_5889_9983,0.4789354296121015,0.1327733223707252,0.4711159974955102,
HPOB_5889_3954,0.062870619270437,0.9872763491751524,0.3620978520068682,
HPOB_5889_9977,0.1000665129055982,0.1710465160149882,0.0749328013237924,
HPOB_5889_7295,0.2401596849407815,0.0255915071767206,0.0372643603155651,
HPOB_5889_3889,0.1288635912160312,0.2044768534915534,0.0746391513326702,
HPOB_5889_9970,0.5479261064426396,0.3449179064946714,0.3232685459384415,
HPOB_5889_3891,0.2078137187576024,0.1176173174427603,0.0833689129043022,
HPOB_5889_9978,0.0978232940698368,0.0593193993722135,0.0434339286343362,
HPOB_5889_3917,0.317015354370857,0.1991385584020164,0.1929761247714914,
HPOB_5889_9957,0.3399976167245301,0.1113850326882876,0.1494630405170683,
HPOB_5889_9980,0.1951133069863644,0.2055379338460652,0.1958878112976313,
HPOB_5889_3494,0.939719201120497,-0.0085375118438772,-0.0043086551954238,
HPOB_5889_10101,0.1717596111144334,0.2102825139033154,0.7841721145204651,
HPOB_5889_31,0.318819098174572,0.075950659811497,0.378447026014328,
HPOB_5889_3493,0.3911243588829742,0.799616753650559,0.6028466557584841,
HPOB_5889_3913,0.406991879908159,0.4524191823279613,0.324798901811282,
HPOB_5889_9946,0.3923811916526625,0.3294788102298936,0.2648846679620089,
HPOB_5889_125923,0.2546251272386975,0.3586895810490952,0.5979265776149711,
LunarLander_136,0.4864558782280933,0.4965087888677252,0.8984469813495317,
LunarLander_100,0.3728038159556071,0.2799345331606113,0.4439743119567977,
LunarLander_148,0.6061617992237572,0.5675991055937009,0.5762227072769348,
LunarLander_91,0.5395815507595796,0.5399210989557192,0.5291704990770709,
LunarLander_152,0.7496473679600035,0.5993873182533314,0.4999850112067834,
LunarLander_117,0.6139619890326442,0.4189945244389084,0.7412580468014174,
LunarLander_174,0.8899982188153397,0.3885427172590749,0.7123608179814593,
LunarLander_127,0.4636247547213154,0.4372803867933733,0.28841745372027,
LunarLander_60,0.5723676262247517,0.5766854866275416,0.6933616687679844,
LunarLander_163,0.8602291201207801,0.8047849843424144,0.8916396550392008,
LunarLander_86,0.5408827398472904,0.4716255195735276,0.4918173969712204,
LunarLander_142,0.3741635954666411,0.3343335450637603,0.2987974831253889,
LunarLander_113,,0.461699667001734,0.5546471236612318,
LunarLander_155,,0.496520834409143,0.3705299076199192,
LunarLander_53,,0.6068754884921392,0.4010688551298789,
LunarLander_159,,0.4703193560932231,0.4325631693119788,
LunarLander_180,,0.4355494263281729,0.4645653400961271,
LunarLander_103,,0.0821485443703043,-0.1811027654900288,
LunarLander_116,,0.4263881093145496,0.3436977006670258,
RobotPush_12,,0.7241853733853048,0.9121272368844588,
RobotPush_125,,0.6725072801635463,0.6742222566503465,
RobotPush_140,,0.3456448090118358,1.2381474203903995,
